bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
1,2,1.0,78702,1,4.84,Q4,0,0,0,0,0,613000,101.0,0.7
0,1,1.0,78704,0,4.97,Q4,0,0,1,0,0,802000,91.66666666666667,0.7
1,2,1.0,78704,1,4.97,Q4,0,0,1,1,0,802000,159.0,0.5841602696124322
1,1,1.0,78741,0,4.56,Q4,0,1,0,0,0,397000,48.0,0.1008503065058335
2,2,2.0,78702,1,5.0,Q4,0,0,1,0,0,613000,123.0,0.2169981916817359
3,2,2.0,78745,0,5.0,Q4,0,0,1,1,0,456000,100.0,0.0386249517188103
1,1,1.0,78741,0,4.94,Q4,0,0,0,0,0,397000,58.0,0.6102911846828879
2,2,1.0,78703,1,4.91,Q4,0,0,1,1,0,1324000,250.0,0.7
2,2,2.0,78731,0,4.92,Q4,0,0,0,1,0,1019000,450.0,0.0825593395252838
2,3,1.0,78705,1,4.88,Q4,0,0,1,1,0,353000,100.0,0.3911042944785276
1,3,1.0,78704,1,4.92,Q4,0,0,1,1,0,802000,90.0,0.7
1,2,1.5,78704,1,4.96,Q4,0,0,0,1,0,802000,143.0,0.4862712219660448
1,1,1.0,78704,0,4.98,Q4,0,0,0,1,0,802000,134.0,0.7
1,3,1.0,78704,0,4.89,Q4,0,1,1,0,0,802000,165.0,0.3779494675297556
0,1,1.0,78704,0,4.88,Q4,0,0,0,1,0,802000,250.0,0.0430802369413031
1,1,1.0,78731,1,4.91,Q4,1,1,1,1,0,1019000,134.0,0.7
2,4,2.5,78727,0,4.89,Q4,1,0,1,1,0,474000,297.0,0.0954032957502168
3,3,2.0,78702,1,4.96,Q4,0,0,0,1,0,613000,500.0,0.7
0,1,1.0,78751,1,4.94,Q4,0,0,1,1,0,636000,110.0,0.7
2,2,2.0,78705,1,4.88,Q4,0,1,1,0,0,353000,111.0,0.7
1,1,1.0,78704,0,4.82,Q4,0,1,0,1,0,802000,118.0,0.5356760231412042
3,5,2.5,78704,1,4.9,Q4,0,1,1,1,0,802000,302.0,0.7
1,2,1.0,78703,1,4.97,Q4,0,0,1,0,0,1324000,129.0,0.7
1,2,1.0,78722,1,4.96,Q4,0,0,1,1,0,595000,125.0,0.4989200863930885
5,14,3.0,78702,1,4.96,Q4,0,1,0,1,0,613000,564.3333333333334,0.4440612200905368
3,5,2.0,78702,0,4.94,Q4,0,0,0,1,0,613000,400.0,0.0531208499335989
2,2,1.0,78751,1,4.93,Q4,0,0,1,0,0,636000,114.0,0.7
2,2,1.0,78704,1,4.96,Q4,0,1,0,1,0,802000,135.0,0.4839072698627054
2,2,1.0,78704,1,4.68,Q4,0,1,1,1,0,802000,179.0,0.1245828698553948
4,4,3.0,78704,1,4.99,Q4,1,0,1,1,0,802000,750.0,0.214268895691076
1,1,1.0,78702,0,4.61,Q4,0,0,1,1,0,613000,41.0,0.7
2,2,1.0,78702,1,4.82,Q4,0,1,0,1,0,613000,123.0,0.4454443194600675
3,3,1.5,78704,0,4.67,Q4,0,0,0,1,0,802000,100.0,0.7
3,4,1.0,78701,0,4.2,Q4,0,0,0,1,0,727000,240.0,0.0199534419687396
3,4,1.0,78702,1,4.87,Q4,0,1,1,1,0,613000,76.0,0.0496545768566493
2,2,2.0,78703,1,5.0,Q4,0,0,1,0,0,1324000,550.0,0.0286493860845839
2,2,2.0,78704,0,4.9,Q4,0,1,1,1,0,802000,150.0,0.1184240491915281
5,13,2.0,78703,0,4.69,Q4,0,1,0,1,0,1324000,175.0,0.2597402597402597
0,2,1.0,78704,1,4.78,Q4,0,0,1,1,0,802000,101.0,0.4739223624672541
1,1,1.0,78723,1,4.97,Q4,1,0,1,1,0,502000,105.0,0.4955035971223021
3,3,2.5,78702,0,4.91,Q4,0,0,0,0,0,613000,350.0,0.124166475051736
3,3,2.5,78758,1,4.77,Q4,0,0,1,1,0,398000,86.0,0.4294620180096975
3,3,2.0,78745,1,4.86,Q4,0,1,1,1,0,456000,191.0,0.7
2,2,1.0,78704,0,4.81,Q4,0,0,0,1,0,802000,190.0,0.3242992819087329
2,3,1.0,78702,0,4.71,Q4,0,0,0,1,0,613000,225.0,0.1162393162393162
1,3,1.0,78704,1,4.89,Q4,0,0,1,0,0,802000,138.0,0.7
1,2,1.0,78745,1,4.82,Q4,0,0,0,1,0,456000,85.0,0.4190651623301865
3,4,2.0,78723,0,4.25,Q4,0,0,1,1,0,502000,300.0,0.0107296137339055
4,5,3.0,78702,0,5.0,Q4,0,1,0,0,0,613000,695.0,0.0299746368457459
3,3,2.0,78745,0,5.0,Q4,0,0,0,1,0,456000,600.0,0.0253164556962025
1,1,1.0,78705,0,4.67,Q4,0,1,0,1,0,353000,81.0,0.046656298600311
